"LID","Name","Region","Flaeche","Einwohner","BIP"
"115","Kuwait","Mittlerer Osten","17820","1973572","44800000000"
"116","Kyrgyzstan","Osteuropa","198500","4685230","10300000000"
"117","Laos","Südostasien","236800","5497459","7000000000"
"118","Latvia","Europa","64589","2404926","9800000000"
"119","Libanon","Mittlerer Osten","10400","3578036","16200000000"
"120","Lesotho","Afrika","30355","2143141","4700000000"
"121","Liberia","Afrika","111370","3164156","2850000000"
"122","Libya","Afrika","1759540","5115450","39300000000"
"123","Liechtenstein","Europa","160","32207","730000000"
"124","Litauen","Europa","65200","3620756","17300000000"
"125","Luxemburg","Europa","2586","437389","14700000000"
"126","Macau","Südostasien","21","445594","7650000000"
"127","Macedonia The Former Yugoslav Republic of","Europa","25333","2041467","7600000000"
"128","Madagascar","Afrika","587040","15506472","11500000000"
"129","Malawi","Afrika","118480","10385849","9400000000"
"130","Malaysia","Südostasien","329750","21793293","229100000000"
"131","Maldives","Asien","300","301475","540000000"
"132","Mali","Afrika","1240000","10685948","8500000000"
"133","Malta","Europa","316","391670","5"
"134","Man Isle of","Europa","572","73117","1200000000"
"135","Marshall Inseln","Ozeanien","181","68126","105000000"
"136","Martinique","Mittelamerika","1100","414516","4240000000"
"137","Mauritania","Afrika","1030700","2667859","4900000000"
"138","Mauritius","Welt","1860","1179368","12300000000"
"139","Mayotte","Afrika","374","155911","85000000"
"140","Mexiko","Nordamerika","1972550","100349766","865500000000"
"141","Micronesia, Federated States of","Ozeanien","702","133144","240000000"
"142","Moldova","Osteuropa","33843","4430654","9700000000"
"143","Monaco","Europa","1","31693","870000000"
"144","Mongolei","Asien","1565000","2650952","6100000000"
"145","Montserrat","Mittelamerika","100","6409","31000000"
"146","Marocco","Afrika","446550","30122350","108000000000"
"147","Mozambique","Afrika","801590","19104696","18700000000"
"148","Namibia","Afrika","825418","1771327","7100000000"
"149","Nauru","Ozeanien","21","11845","100000000"
"150","Nepal","Asien","140800","24702119","27400000000"
"151","Niederlande","Europa","41532","15892237","365100000000"
"152","Niederländische Antillen","Mittelamerika","960","210134","2400000000"
"153","New Caledonia","Ozeanien","19060","201816","3000000000"
"154","Neuseeland","Ozeanien","268680","3819762","63800000000"
"155","Nicaragua","Mittelamerika","129494","4812569","12500000000"
"156","Niger","Afrika","1267000","10075511","9600000000"
"157","Nigeria","Afrika","923768","123337822","110500000000"
"158","Niue","Ozeanien","260","2113","4500000"
"159","Norfolk Island","Ozeanien","34","1892",""
"160","Northern Mariana Islands","Ozeanien","477","71912","524000000"
"161","Norwegen","Europa","324220","4481162","111300000000"
"162","Oman","Mittlerer Osten","212460","2533389","19600000000"
"163","Pakistan","Asien","803940","141553775","282000000000"
"164","Palau","Ozeanien","458","18766","160000000"
"165","Panama","Mittelamerika","78200","2808268","21000000000"
"166","Papua Neu Guinea","Ozeanien","462840","4926984","11600000000"
"167","Paraguay","Südamerika","406750","5585828","19900000000"
"168","Peru","Südamerika","1280000","27012899","116000000000"
"169","Philippinen","Südostasien","300000","81159644","282000000000"
"170","Pitcairn Islands","Ozeanien","47","54",""
"171","Polen","Europa","312685","38646023","276500000000"
"172","Portugal","Europa","92391","10048232","151400000000"
"173","Puerto Rico","Mittelamerika","9104","3915798","38100000000"
"174","Qatar","Mittlerer Osten","11437","744483","12300000000"
"175","Rum„nien","Europa","237500","22411121","87400000000"
"176","Russland","Asien","17075200","146001176","620300000000"
"177","Rwanda","Afrika","26338","7229129","5900000000"
"178","Saint Helena","Afrika","410","7212","13900000"
"179","Saint Kitts und Nevis","Mittelamerika","261","38819","244000000"
"180","Saint Lucia","Mittelamerika","620","156260","656000000"
"181","Saint Pierre und Miquelon","Nordamerika","242","6896","74000000"
"182","Saint Vincent und die Grenadines","Mittelamerika","389","115461","309000000"
"183","Samoa","Ozeanien","2860","179466","485000000"
"184","San Marino","Europa","60","26937","500000000"
"185","Sao Tome und Principe","Afrika","1001","159883","169000000"
"186","Saudi-Arabien","Mittlerer Osten","1960582","22023506","191000000000"
"187","Senegal","Afrika","196190","9987494","16600000000"
"188","Serbien und Montenegro","Europa","102350","10662087","20600000000"
"189","Seychellen","Afrika","455","79326","590000000"
"190","Sierra Leone","Afrika","71740","5232624","2500000000"
"191","Singapur","Südostasien","647","4151264","98000000000"
"192","Slowakei","Europa","48845","5407956","45900000000"
"193","Slowenien","Europa","20253","1927593","21400000000"
"194","Solomon Islands","Ozeanien","28450","466194","1210000000"
"195","Somalia","Afrika","637657","7253137","4300000000"
"196","SüdAfrika","Afrika","1219912","43421021","296100000000"
"197","Spanien","Europa","504782","39996671","677500000000"
"198","Sri Lanka","Asien","65610","19238575","50500000000"
"199","Sudan","Afrika","2505810","35079814","32600000000"
"200","Suriname","Südamerika","163270","431303","1480000000"
"201","Svalbard","Arktik-Region","62049","2416",""
"202","Swaziland","Afrika","17363","1083289","4200000000"
"203","Schweden","Europa","449964","8873052","184000000000"
"204","Schweiz","Europa","41290","7262372","197000000000"
"205","Syrien","Mittlerer Osten","185180","16305659","42200000000"
"206","Taiwan","Südostasien","35980","22191087","357000000000"
"207","Tajikistan","Osteuropa","143100","6440732","6200000000"
"208","Tanzania","Afrika","945087","35306126","23300000000"
